Anode Mass Flow Rate [mg/s],Thrust [mN],Cathode Keeper Voltage [V],Discharge Voltage [V],Discharge Current [A],Beam Current [A],Electromagnetic Inner Coil Current [A],Electromagnetic Outer Coil Current [A],
18.8,13.85,0,370,0.732,0.548727273,1.85,2.25,
16.9,9.2,0,250,0.591,0.466254545,1.85,2.25,
16.9,9.75,0,250,0.623,0.473672727,3.2,1.4,
19.4,10.95,0,250,0.701,0.554618182,1.85,2.25,
19.4,11.7,0,250,0.735,0.567272727,3.2,1.4,
20.6,12,0,250,0.764,0.605236364,1.85,2.25,
20.6,12.75,0,250,0.789,0.613963636,3.2,1.4,
21.8,13.1,0,250,0.819,0.641890909,1.85,2.25,
21.8,13.75,0,250,0.841,0.642763636,3.2,1.4,
24.2,15.1,0,250,0.929,0.7464,1.85,2.25,
24.2,15.85,0,250,0.955,0.742909091,3.2,1.4,
26.6,17.1,0,250,1.04,0.84,1.85,2.25,
26.6,17.8,0,250,1.054,0.825818182,3.2,1.4,
29,18.95,0,250,1.143,0.927927273,1.85,2.25,
29,19.95,0,250,1.18,0.930545455,3.2,1.4,
16.5,9.45,0,275,0.572,0.461672727,1.85,2.25,
16.5,9.9,0,275,0.609,0.469527273,3.2,1.4,
18.8,10.55,0,275,0.661,0.527127273,1.85,2.25,
18.8,10.9,0,275,0.682,0.536290909,3.2,1.4,
18.8,11.3,0,275,0.675,0.551345455,1.85,2.25,
18.8,11.85,0,275,0.717,0.5592,3.2,1.4,
18.8,11.2,0,275,0.671,0.546763636,1.85,2.25,
18.8,11.95,0,275,0.723,0.558981818,3.2,1.4,
18.8,12,0,275,0.735,0.546763636,3.2,1.4,
19,11.35,0,275,0.683,0.558327273,1.85,2.25,
19,12.1,0,275,0.728,0.570109091,3.2,1.4,
21.1,13.1,0,275,0.776,0.637527273,1.85,2.25,
21.1,13.85,0,275,0.813,0.651490909,3.2,1.4,
23.5,15.1,0,275,0.881,0.729163636,1.85,2.25,
23.5,15.9,0,275,0.91,0.735490909,3.2,1.4,
25.8,17,0,275,0.983,0.812509091,1.85,2.25,
25.8,18,0,275,1.019,0.822545455,3.2,1.4,
28.2,19.25,0,275,1.098,0.912654545,1.85,2.25,
28.2,20.25,0,275,1.127,0.918545455,3.2,1.4,
16.5,9.8,0,300,0.578,0.455345455,1.85,2.25,
16.5,10.2,0,300,0.616,0.467127273,3.2,1.4,
17.8,11.3,0,300,0.667,0.491127273,3.2,1.4,
18.8,11.8,0,300,0.677,0.545018182,1.85,2.25,
18.8,12.85,0,300,0.729,0.561163636,3.2,1.4,
19,12,0,300,0.685,0.552218182,1.85,2.25,
19,12.8,0,300,0.741,0.572727273,3.2,1.4,
21.1,13.6,0,300,0.777,0.629018182,1.85,2.25,
21.1,14.5,0,300,0.804,0.639272727,3.2,1.4,
23.5,15.7,0,300,0.883,0.72,1.85,2.25,
23.5,16.65,0,300,0.909,0.723054545,3.2,1.4,
25.8,17.8,0,300,1.003,0.804654545,1.85,2.25,
25.8,18.75,0,300,1.014,0.807709091,3.2,1.4,
28.2,19.95,0,300,1.12,0.901527273,1.85,2.25,
28.2,20.85,0,300,1.129,0.903709091,3.2,1.4,
24.2,15.4,0,275,1.023,0.860072727,3.2,1.4,
24.2,15.5,0,275,0.997,0.853527273,3.2,1.4,
18.8,10.8,0,275,0.737,0.611629091,3.2,1.4,
24.2,15.1,0,275,1,0.843272727,3.2,1.4,
24.2,14.7,0,275,1,0.808450909,3.2,1.4,
25.4,17.25,0,300,1.065,0.894109091,3.2,1.4,
25.4,16.1,0,300,1.064,0.886254545,3.2,1.4,
25.4,16.55,0,300,1.058,0.891054545,3.2,1.4,
