Propellent atomic Mass [amu], Ionization Energy [eV], Dissociation Energy [eV], Anode Mass Flow Rate [SCCM], Discharge Voltage [V], Cathode Mass Flow Rate [SCCM], Cathode Keeper Voltage [V], Beam Current [A], Thrust [mN], Discharge Current [A], Electromagnetic Inner Coil Current [A], Electromagnetic Outer  Coil Current [A]
131.293,12.1,NaN,8,275,1.5,NaN,0.500072727,10.9,0.667,1.85,2.25
131.293,12.1,NaN,8,275,1.5,NaN,0.507054545,10.7,0.67,2.16,2.66
131.293,12.1,NaN,8,221,1.5,NaN,0.498545455,9.7,0.678,3.2,1.4
131.293,12.1,NaN,8,288,1.5,NaN,0.516654545,11.8,0.696,3.2,1.4
131.293,12.1,NaN,8,310,1.5,NaN,0.526909091,12.35,0.711,3.2,1.4
131.293,12.1,NaN,8,350,1.5,NaN,0.5256,13.25,0.713,3.2,1.4
131.293,12.1,NaN,8,416,1.5,NaN,0.538909091,14.2,0.722,3.2,1.4
131.293,12.1,NaN,8,476,1.5,NaN,0.541090909,14.65,0.736,3.2,1.4
131.293,12.1,NaN,8,523,1.5,NaN,0.538036364,12.75,0.766,3.2,1.4
131.293,12.1,NaN,8,543,1.5,NaN,0.536290909,10.4,0.776,3.2,1.4
131.293,12.1,NaN,8.88,275,1.5,NaN,0.596727273,13.1,0.783,3.2,1.4
131.293,12.1,NaN,8.88,275,1.5,NaN,0.590618182,12.45,0.772,1.85,2.25
131.293,12.1,NaN,8.88,275,1.5,NaN,0.593236364,12.65,0.782,2.16,2.66
131.293,12.1,NaN,9.87,275,1.5,NaN,0.677018182,14.85,0.896,3.2,1.4
131.293,12.1,NaN,9.87,275,1.5,NaN,0.667636364,14.25,0.873,1.85,2.25
131.293,12.1,NaN,9.87,275,1.5,NaN,0.677890909,14.45,0.885,2.16,2.66
131.293,12.1,NaN,10.85,275,1.5,NaN,0.768436364,16.85,1,3.2,1.4
131.293,12.1,NaN,10.85,275,1.5,NaN,0.757309091,16.1,0.973,1.85,2.25
131.293,12.1,NaN,10.85,275,1.5,NaN,0.771709091,16.25,0.988,2.16,2.66
131.293,12.1,NaN,11.84,275,1.5,NaN,0.862690909,18.6,1.121,3.2,1.4
131.293,12.1,NaN,11.84,275,1.5,NaN,0.8496,17.9,1.087,1.85,2.25
131.293,12.1,NaN,11.84,275,1.5,NaN,0.864436364,18,1.096,2.16,2.66
131.293,12.1,NaN,8,250,1.5,NaN,0.502909091,10.55,0.688,3.2,1.4
131.293,12.1,NaN,8,260,1.5,NaN,0.507272727,10.85,0.691,3.2,1.4
131.293,12.1,NaN,8,270,1.5,NaN,0.5112,11.25,0.695,3.2,1.4
131.293,12.1,NaN,8,280,1.5,NaN,0.514254545,11.5,0.697,3.2,1.4
131.293,12.1,NaN,8,290,1.5,NaN,0.516654545,11.8,0.7,3.2,1.4
